순번,티커,종목명,비중,진입금액
1,332610,PLUS 미국단기회사채(AAA~A),17.42%,"174,152,219원"
2,273130,KODEX 종합채권(AA-이상)액티브,12.58%,"125,847,780원"
3,069500,KODEX 200,9.49%,"94,944,271원"
4,360750,TIGER 미국S&P500,7.02%,"70,190,886원"
5,229200,KODEX 코스닥150,4.14%,"41,386,998원"
6,102110,TIGER 200,3.91%,"39,115,981원"
7,379800,KODEX 미국S&P500,3.85%,"38,504,061원"
8,133690,TIGER 미국나스닥100,3.79%,"37,858,757원"
9,278530,KODEX 200TR,3.03%,"30,279,642원"
10,091160,KODEX 반도체,2.87%,"28,747,891원"
11,379810,KODEX 미국나스닥100,2.63%,"26,267,510원"
12,310970,TIGER MSCI Korea TR,2.27%,"22,687,119원"
13,161510,PLUS 고배당주,1.89%,"18,855,054원"
14,102780,KODEX 삼성그룹,1.88%,"18,762,470원"
15,395160,KODEX AI반도체,1.67%,"16,718,456원"
16,148020,RISE 200,1.67%,"16,711,154원"
17,381180,TIGER 미국필라델피아반도체나스닥,1.62%,"16,191,943원"
18,360200,ACE 미국S&P500,1.59%,"15,895,170원"
19,305720,KODEX 2차전지산업,1.45%,"14,515,614원"
20,367380,ACE 미국나스닥100,1.30%,"12,973,972원"
21,232080,TIGER 코스닥150,1.27%,"12,730,827원"
22,278540,KODEX MSCI Korea TR,1.22%,"12,222,700원"
23,395270,HANARO Fn K-반도체,1.17%,"11,703,797원"
24,315930,KODEX Top5PlusTR,1.09%,"10,914,445원"
25,305540,TIGER 2차전지테마,0.91%,"9,079,541원"
26,294400,KIWOOM 200TR,0.89%,"8,857,655원"
27,152100,PLUS 200,0.75%,"7,518,781원"
28,379780,RISE 미국S&P500,0.67%,"6,717,519원"
29,139260,TIGER 200 IT,0.65%,"6,543,878원"
30,381170,TIGER 미국테크TOP10 INDXX,0.61%,"6,092,848원"
