순번,티커,종목명,비중,진입금액
1,332620,PLUS 미국장기우량회사채,14.41%,"144,056,188원"
2,69500,KODEX 200,9.49%,"94,890,697원"
3,332610,PLUS 미국단기회사채(AAA~A),9.07%,"90,727,695원"
4,360750,TIGER 미국S&P500,7.16%,"71,609,542원"
5,182490,TIGER 단기선진하이일드(합성 H),5.68%,"56,791,382원"
6,229200,KODEX 코스닥150,4.14%,"41,363,645원"
7,379800,KODEX 미국S&P500,3.93%,"39,282,282원"
8,102110,TIGER 200,3.91%,"39,093,910원"
9,133690,TIGER 미국나스닥100,3.86%,"38,623,936원"
10,278530,KODEX 200TR,3.03%,"30,262,557원"
11,91160,KODEX 반도체,2.75%,"27,543,779원"
12,379810,KODEX 미국나스닥100,2.68%,"26,798,413원"
13,310970,TIGER MSCI Korea TR,2.27%,"22,674,318원"
14,161510,PLUS 고배당주,1.81%,"18,065,305원"
15,102780,KODEX 삼성그룹,1.80%,"17,976,600원"
16,148020,RISE 200,1.67%,"16,701,725원"
17,381180,TIGER 미국필라델피아반도체나스닥,1.65%,"16,519,205원"
18,360200,ACE 미국S&P500,1.62%,"16,216,434원"
19,395160,KODEX AI반도체,1.60%,"16,018,200원"
20,305720,KODEX 2차전지산업,1.39%,"13,907,624원"
21,367380,ACE 미국나스닥100,1.32%,"13,236,195원"
22,232080,TIGER 코스닥150,1.27%,"12,723,644원"
23,278540,KODEX MSCI Korea TR,1.22%,"12,215,803원"
24,395270,HANARO Fn K-반도체,1.12%,"11,213,581원"
25,315930,KODEX Top5PlusTR,1.05%,"10,457,291원"
26,294400,KIWOOM 200TR,0.89%,"8,852,657원"
27,305540,TIGER 2차전지테마,0.87%,"8,699,243원"
28,152100,PLUS 200,0.75%,"7,514,539원"
29,379780,RISE 미국S&P500,0.69%,"6,853,290원"
30,139260,TIGER 200 IT,0.63%,"6,269,787원"
31,434730,HANARO 원자력iSelect,0.56%,"5,631,261원"
32,273130,KODEX 종합채권(AA-이상)액티브,0.48%,"4,813,634원"
33,226490,KODEX 코스피,0.46%,"4,571,138원"
34,371160,TIGER 차이나항셍테크,0.44%,"4,424,822원"
35,91180,KODEX 자동차,0.40%,"3,994,800원"
36,91170,KODEX 은행,0.35%,"3,493,921원"
37,139230,TIGER 200 중공업,0.30%,"3,003,747원"
38,251350,KODEX 선진국MSCI World,0.24%,"2,380,025원"
39,385540,RISE 종합채권(A-이상)액티브,0.22%,"2,218,570원"
40,361580,RISE 200TR,0.22%,"2,212,157원"
41,277630,TIGER 코스피,0.22%,"2,193,732원"
42,241180,TIGER 일본니케이225,0.21%,"2,072,894원"
43,295040,SOL 200TR,0.20%,"2,038,270원"
44,302450,RISE 코스피,0.19%,"1,905,840원"
45,245710,ACE 베트남VN30(합성),0.15%,"1,528,390원"
46,283580,KODEX 차이나CSI300,0.14%,"1,368,527원"
47,325010,KODEX 성장주,0.11%,"1,143,229원"
48,200250,KIWOOM 인도Nifty50(합성),0.11%,"1,073,022원"
49,414780,TIGER 차이나과창판STAR50(합성),0.10%,"1,001,810원"
