순번,티커,종목명,비중,진입금액
1,332610,PLUS 미국단기회사채(AAA~A),23.77%,"237,716,433원"
2,069500,KODEX 200,9.49%,"94,944,271원"
3,360750,TIGER 미국S&P500,7.33%,"73,325,072원"
4,273130,KODEX 종합채권(AA-이상)액티브,6.23%,"62,283,566원"
5,229200,KODEX 코스닥150,4.14%,"41,386,998원"
6,379800,KODEX 미국S&P500,4.02%,"40,223,356원"
7,133690,TIGER 미국나스닥100,3.95%,"39,549,238원"
8,102110,TIGER 200,3.91%,"39,115,981원"
9,278530,KODEX 200TR,3.03%,"30,279,642원"
10,091160,KODEX 반도체,2.87%,"28,737,799원"
11,379810,KODEX 미국나스닥100,2.74%,"27,440,415원"
12,310970,TIGER MSCI Korea TR,2.27%,"22,687,119원"
13,161510,PLUS 고배당주,1.88%,"18,848,434원"
14,102780,KODEX 삼성그룹,1.88%,"18,755,884원"
15,381180,TIGER 미국필라델피아반도체나스닥,1.69%,"16,914,951원"
16,395160,KODEX AI반도체,1.67%,"16,712,587원"
17,148020,RISE 200,1.67%,"16,711,154원"
18,360200,ACE 미국S&P500,1.66%,"16,604,926원"
19,305720,KODEX 2차전지산업,1.45%,"14,510,518원"
20,367380,ACE 미국나스닥100,1.36%,"13,553,290원"
21,232080,TIGER 코스닥150,1.27%,"12,730,827원"
22,278540,KODEX MSCI Korea TR,1.22%,"12,222,700원"
23,395270,HANARO Fn K-반도체,1.17%,"11,699,688원"
24,315930,KODEX Top5PlusTR,1.09%,"10,910,614원"
25,305540,TIGER 2차전지테마,0.91%,"9,076,354원"
26,294400,KIWOOM 200TR,0.89%,"8,857,655원"
27,152100,PLUS 200,0.75%,"7,518,781원"
28,379780,RISE 미국S&P500,0.70%,"7,017,472원"
29,139260,TIGER 200 IT,0.65%,"6,541,581원"
30,226490,KODEX 코스피,0.46%,"4,573,718원"
