순번,티커,종목명,비중,진입금액
1,332620,PLUS 미국장기우량회사채,14.98%,"149,843,073원"
2,69500,KODEX 200,10.11%,"101,099,623원"
3,332610,PLUS 미국단기회사채(AAA~A),9.44%,"94,372,320원"
4,360750,TIGER 미국S&P500,7.63%,"76,295,126원"
5,182490,TIGER 단기선진하이일드(합성 H),5.91%,"59,072,750원"
6,229200,KODEX 코스닥150,4.41%,"44,070,168원"
7,379800,KODEX 미국S&P500,4.19%,"41,852,616원"
8,102110,TIGER 200,4.17%,"41,651,918원"
9,133690,TIGER 미국나스닥100,4.12%,"41,151,193원"
10,278530,KODEX 200TR,3.22%,"32,242,709원"
11,91160,KODEX 반도체,3.05%,"30,490,709원"
12,379810,KODEX 미국나스닥100,2.86%,"28,551,898원"
13,310970,TIGER MSCI Korea TR,2.42%,"24,157,953원"
14,161510,PLUS 고배당주,2.00%,"19,998,126원"
15,102780,KODEX 삼성그룹,1.99%,"19,899,930원"
16,148020,RISE 200,1.78%,"17,794,559원"
17,395160,KODEX AI반도체,1.77%,"17,731,999원"
18,381180,TIGER 미국필라델피아반도체나스닥,1.76%,"17,600,096원"
19,360200,ACE 미국S&P500,1.73%,"17,277,514원"
20,305720,KODEX 2차전지산업,1.54%,"15,395,611원"
21,367380,ACE 미국나스닥100,1.41%,"14,102,271원"
22,232080,TIGER 코스닥150,1.36%,"13,556,182원"
23,278540,KODEX MSCI Korea TR,1.30%,"13,015,113원"
24,395270,HANARO Fn K-반도체,1.24%,"12,413,331원"
25,315930,KODEX Top5PlusTR,1.16%,"11,576,125원"
26,273130,KODEX 종합채권(AA-이상)액티브,1.04%,"10,417,248원"
27,305540,TIGER 2차전지테마,0.96%,"9,629,982원"
28,294400,KIWOOM 200TR,0.94%,"9,431,908원"
29,152100,PLUS 200,0.80%,"8,006,233원"
30,379780,RISE 미국S&P500,0.73%,"7,301,717원"
