티커,종목명,현재비중,목표비중,현재금액,목표금액,변동금액,액션
381170,TIGER 미국테크TOP10 INDXX,12.80%,0.00%,"128,007,116원",0원,"-128,007,116원",매도(전량)
458730,TIGER 미국배당다우존스,10.23%,0.00%,"102,310,720원",0원,"-102,310,720원",매도(전량)
411060,ACE KRX금현물,7.90%,0.00%,"79,029,248원",0원,"-79,029,248원",매도(전량)
487230,KODEX 미국AI전력핵심인프라,4.59%,0.00%,"45,906,627원",0원,"-45,906,627원",매도(전량)
157450,TIGER 단기통안채,3.91%,0.00%,"39,070,480원",0원,"-39,070,480원",매도(전량)
273130,KODEX 종합채권(AA-이상)액티브,3.58%,0.00%,"35,795,062원",0원,"-35,795,062원",매도(전량)
458260,TIGER 미국투자등급회사채액티브(H),3.32%,0.00%,"33,176,702원",0원,"-33,176,702원",매도(전량)
459580,KODEX CD금리액티브(합성),2.83%,0.00%,"28,283,021원",0원,"-28,283,021원",매도(전량)
488770,KODEX 머니마켓액티브,2.59%,0.00%,"25,856,664원",0원,"-25,856,664원",매도(전량)
360750,TIGER 미국S&P500,10.50%,7.97%,"105,038,556원","79,723,233원","-25,315,323원",비중 축소
144600,KODEX 은선물(H),2.20%,0.00%,"22,045,327원",0원,"-22,045,327원",매도(전량)
453850,ACE 미국30년국채액티브(H),2.16%,0.00%,"21,585,746원",0원,"-21,585,746원",매도(전량)
114260,KODEX 국고채3년,2.15%,0.00%,"21,450,695원",0원,"-21,450,695원",매도(전량)
148070,KIWOOM 국고채10년,1.97%,0.00%,"19,735,601원",0원,"-19,735,601원",매도(전량)
385540,RISE 종합채권(A-이상)액티브,1.65%,0.00%,"16,497,688원",0원,"-16,497,688원",매도(전량)
423160,KODEX KOFR금리액티브(합성),1.53%,0.00%,"15,269,376원",0원,"-15,269,376원",매도(전량)
379800,KODEX 미국S&P500,5.76%,4.37%,"57,620,172원","43,733,145원","-13,887,027원",비중 축소
133690,TIGER 미국나스닥100,5.67%,4.30%,"56,654,495원","43,000,206원","-13,654,289원",비중 축소
468380,KODEX iShares미국하이일드액티브,1.33%,0.00%,"13,348,933원",0원,"-13,348,933원",매도(전량)
451540,TIGER 종합채권(AA-이상)액티브,0.94%,0.00%,"9,425,921원",0원,"-9,425,921원",매도(전량)
458250,TIGER 미국30년국채스트립액티브(합성 H),0.74%,0.00%,"7,390,153원",0원,"-7,390,153원",매도(전량)
132030,KODEX 골드선물(H),0.73%,0.00%,"7,284,477원",0원,"-7,284,477원",매도(전량)
484790,KODEX 미국30년국채액티브(H),0.70%,0.00%,"7,037,902원",0원,"-7,037,902원",매도(전량)
455660,ACE 미국하이일드액티브(H),0.61%,0.00%,"6,076,066원",0원,"-6,076,066원",매도(전량)
139260,TIGER 200 IT,0.00%,0.70%,0원,"6,980,182원","+6,980,182원",매수(신규)
102780,KODEX 삼성그룹,1.30%,2.00%,"12,988,225원","20,013,432원","+7,025,207원",비중 확대
161510,PLUS 고배당주,1.31%,2.01%,"13,052,315원","20,112,188원","+7,059,873원",비중 확대
379780,RISE 미국S&P500,0.00%,0.76%,0원,"7,629,799원","+7,629,799원",매수(신규)
152100,PLUS 200,0.00%,0.79%,0원,"7,874,302원","+7,874,302원",매수(신규)
294400,KIWOOM 200TR,0.00%,0.93%,0원,"9,276,484원","+9,276,484원",매수(신규)
305540,TIGER 2차전지테마,0.00%,0.97%,0원,"9,684,907원","+9,684,907원",매수(신규)
091160,KODEX 반도체,1.99%,3.07%,"19,900,581원","30,664,616원","+10,764,035원",비중 확대
315930,KODEX Top5PlusTR,0.00%,1.16%,0원,"11,642,151원","+11,642,151원",매수(신규)
395270,HANARO Fn K-반도체,0.00%,1.25%,0원,"12,484,132원","+12,484,132원",매수(신규)
278540,KODEX MSCI Korea TR,0.00%,1.28%,0원,"12,800,644원","+12,800,644원",매수(신규)
232080,TIGER 코스닥150,0.00%,1.33%,0원,"13,332,797원","+13,332,797원",매수(신규)
367380,ACE 미국나스닥100,0.00%,1.47%,0원,"14,735,916원","+14,735,916원",매수(신규)
305720,KODEX 2차전지산업,0.00%,1.55%,0원,"15,483,422원","+15,483,422원",매수(신규)
148020,RISE 200,0.00%,1.75%,0원,"17,501,332원","+17,501,332원",매수(신규)
395160,KODEX AI반도체,0.00%,1.78%,0원,"17,833,136원","+17,833,136원",매수(신규)
360200,ACE 미국S&P500,0.00%,1.81%,0원,"18,053,830원","+18,053,830원",매수(신규)
381180,TIGER 미국필라델피아반도체나스닥,0.00%,1.84%,0원,"18,390,907원","+18,390,907원",매수(신규)
310970,TIGER MSCI Korea TR,0.00%,2.38%,0원,"23,759,867원","+23,759,867원",매수(신규)
102110,TIGER 200,1.12%,4.10%,"11,183,653원","40,965,559원","+29,781,906원",비중 확대
379810,KODEX 미국나스닥100,0.00%,2.98%,0원,"29,834,797원","+29,834,797원",매수(신규)
229200,KODEX 코스닥150,1.18%,4.33%,"11,832,959원","43,343,959원","+31,511,000원",비중 확대
278530,KODEX 200TR,0.00%,3.17%,0원,"31,711,398원","+31,711,398원",매수(신규)
182490,TIGER 단기선진하이일드(합성 H),0.00%,5.84%,0원,"58,432,304원","+58,432,304원",매수(신규)
069500,KODEX 200,2.71%,9.94%,"27,145,522원","99,433,657원","+72,288,135원",비중 확대
332610,PLUS 미국단기회사채(AAA~A),0.00%,9.33%,0원,"93,349,169원","+93,349,169원",매수(신규)
332620,PLUS 미국장기우량회사채,0.00%,14.82%,0원,"148,218,527원","+148,218,527원",매수(신규)
