종목코드,cluster,종목명,업종
000020,3,동화약품,의약품 제조업
000040,2,KR모터스,그외 기타 운송장비 제조업
000050,3,경방,종합 소매업
000070,3,삼양홀딩스,기타 금융업
000080,3,하이트진로,알코올음료 제조업
000100,4,유한양행,의약품 제조업
000120,2,CJ대한통운,도로 화물 운송업
000140,0,하이트진로홀딩스,기타 금융업
000150,4,두산,기타 금융업
000180,3,성창기업지주,회사 본부 및 경영 컨설팅 서비스업
000210,3,DL,기초 화학물질 제조업
000220,3,유유제약,의약품 제조업
000230,1,일동홀딩스,의약품 제조업
000240,4,한국앤컴퍼니,기타 금융업
000270,4,기아,자동차용 엔진 및 자동차 제조업
000320,4,노루홀딩스,기타 금융업
000370,2,한화손해보험,보험업
000390,3,삼화페인트공업,기타 화학제품 제조업
000400,4,롯데손해보험,보험업
000430,1,대원강업,자동차 신품 부품 제조업
000480,3,시알홀딩스,"내화, 비내화 요업제품 제조업"
000490,2,대동,특수 목적용 기계 제조업
000500,4,가온전선,절연선 및 케이블 제조업
000520,4,삼일제약,의약품 제조업
000540,2,흥국화재,보험업
000590,2,CS홀딩스,기타 금융업
000640,4,동아쏘시오홀딩스,기타 금융업
000650,3,천일고속,육상 여객 운송업
000660,4,SK하이닉스,반도체 제조업
000670,3,영풍,1차 비철금속 제조업
000680,2,LS네트웍스,상품 종합 도매업
000700,1,유수홀딩스,회사 본부 및 경영 컨설팅 서비스업
000720,3,현대건설,토목 건설업
000760,1,이화산업,기타 전문 도매업
000810,4,삼성화재해상보험,보험업
000850,1,화천기공,특수 목적용 기계 제조업
000860,2,강남제비스코,기타 화학제품 제조업
000880,2,한화,기타 화학제품 제조업
000890,3,보해양조,알코올음료 제조업
000910,2,유니온,"시멘트, 석회, 플라스터 및 그 제품 제조업"
000950,3,전방,방적 및 가공사 제조업
000970,3,한국주철관공업,1차 철강 제조업
000990,3,DB하이텍,반도체 제조업
001020,3,페이퍼코리아,"펄프, 종이 및 판지 제조업"
001040,4,CJ,기타 금융업
001060,2,JW중외제약,의약품 제조업
001070,3,대한방직,직물직조 및 직물제품 제조업
001120,1,LX인터내셔널,상품 중개업
001130,3,대한제분,"곡물가공품, 전분 및 전분제품 제조업"
001200,1,유진증권,금융 지원 서비스업
001210,0,금호전기,전구 및 조명장치 제조업
001230,3,동국홀딩스,기타 금융업
001250,2,GS글로벌,상품 종합 도매업
001260,3,남광토건,토목 건설업
001270,4,부국증권,금융 지원 서비스업
001290,3,상상인증권,금융 지원 서비스업
001360,3,삼성제약,의약품 제조업
001380,4,SG글로벌,자동차 신품 부품 제조업
001390,2,KG케미칼,기초 화학물질 제조업
001420,3,태원물산,자동차 신품 부품 제조업
001430,1,세아베스틸지주,1차 철강 제조업
001440,2,대한전선,절연선 및 케이블 제조업
001450,1,현대해상,보험업
001460,3,BYC,봉제의복 제조업
001500,3,현대차증권,금융 지원 서비스업
001510,3,SK증권,금융 지원 서비스업
001520,3,동양,"시멘트, 석회, 플라스터 및 그 제품 제조업"
001530,4,디아이동일,상품 중개업
001550,3,조비,"비료, 농약 및 살균, 살충제 제조업"
001560,2,제일연마,기타 비금속 광물제품 제조업
001620,3,케이비아이동국실업,자동차 신품 부품 제조업
001630,3,종근당홀딩스,의약품 제조업
001680,2,대상,기타 식품 제조업
001720,4,신영증권,금융 지원 서비스업
001740,1,SK네트웍스,기타 전문 도매업
001750,0,한양증권,금융 지원 서비스업
001770,3,SHD,1차 철강 제조업
001780,2,알루코,1차 비철금속 제조업
001790,1,대한제당,"곡물가공품, 전분 및 전분제품 제조업"
001800,2,오리온홀딩스,기타 금융업
001820,3,삼화콘덴서공업,전자부품 제조업
001940,4,KISCO홀딩스,1차 철강 제조업
002020,3,코오롱,기타 금융업
002030,4,아세아,회사 본부 및 경영 컨설팅 서비스업
002070,3,비비안,봉제의복 제조업
002100,3,경농,"비료, 농약 및 살균, 살충제 제조업"
