,종목코드
0,000020
1,000040
2,000050
3,000070
4,000080
5,000100
6,000120
7,000140
8,000150
9,000180
10,000210
11,000220
12,000230
13,000240
14,000270
15,000320
16,000370
17,000390
18,000400
19,000430
20,000480
21,000490
22,000500
23,000520
24,000540
25,000590
26,000640
27,000650
28,000660
29,000670
30,000680
31,000700
32,000720
33,000760
34,000810
35,000850
36,000860
37,000880
38,000890
39,000910
40,000950
41,000970
42,000990
43,001020
44,001040
45,001060
46,001070
47,001120
48,001130
49,001200
50,001210
51,001230
52,001250
53,001260
54,001270
55,001290
56,001360
57,001380
58,001390
59,001420
60,001430
61,001440
62,001450
63,001460
64,001500
65,001510
66,001520
67,001530
68,001550
69,001560
70,001620
71,001630
72,001680
73,001720
74,001740
75,001750
76,001770
77,001780
78,001790
79,001800
80,001820
81,001940
82,002020
83,002030
84,002070
85,002100
86,002140
87,002150
88,002170
89,002200
90,002220
91,002240
92,002310
93,002320
94,002350
95,002360
96,002380
97,002390
98,002450
99,002460
100,002600
101,002620
102,002630
103,002690
104,002700
105,002710
106,002720
107,002760
108,002780
109,002790
110,002810
111,002820
112,002840
113,002870
114,002880
115,002900
116,002920
117,002960
118,002990
119,003000
120,003010
121,003030
122,003060
123,003070
124,003080
125,003090
126,003120
127,003160
128,003200
129,003220
130,003230
131,003240
132,003300
133,003350
134,003460
135,003470
136,003480
137,003490
138,003520
139,003530
140,003540
141,003550
142,003570
143,003580
144,003610
145,003650
146,003670
147,003680
148,003690
149,003720
150,003780
151,003830
152,003850
153,003920
154,003960
155,004000
156,004020
157,004060
158,004080
159,004090
160,004100
161,004140
162,004150
163,004170
164,004250
165,004270
166,004310
167,004360
168,004370
169,004410
170,004430
171,004440
172,004450
173,004490
174,004540
175,004560
176,004690
177,004700
178,004710
179,004720
180,004770
181,004800
182,004830
183,004840
184,004870
185,004890
186,004910
187,004920
188,004960
189,004970
190,004980
191,004990
192,005010
193,005070
194,005090
195,005180
196,005250
197,005300
198,005320
199,005360
200,005380
201,005420
202,005430
203,005440
204,005490
205,005500
206,005610
207,005680
208,005690
209,005720
210,005740
211,005750
212,005800
213,005810
214,005820
215,005830
216,005850
217,005870
218,005880
219,005930
220,005940
221,005950
222,005960
223,006040
224,006060
225,006090
226,006110
227,006120
228,006200
