,C0 부동산/금융 (108),C1 중공업/철강 (112),C2 자동차부품/제약 (118),C3 혼합 대형 (299),C4 금융/화학/보험 (120)
Adj_Close,0.046488180226749845,0.046464712127591616,0.046475292378990216,0.04646704568802936,0.046112713810834656
Open,0.04650121736673662,0.04661160150561671,0.04653807566385365,0.04638165767087877,0.04617204040620472
High,0.04651420181916085,0.046708380498669363,0.046464681914493225,0.046461102325211535,0.046209501866504486
Low,0.04668971158840038,0.04681556373082027,0.04657971346704521,0.046498434071270925,0.046110848811707184
Volume,0.05058116631743349,0.050301630509020104,0.050823641253348005,0.050816274543978135,0.051241315162668125
SMA_5,0.046619478603939946,0.046670182199791216,0.046559457354877716,0.04642288143529832,0.04619779346605167
SMA_20,0.04781637163073928,0.04794059472553658,0.04772903313535956,0.04770515550607405,0.047093673247489407
SMA_60,0.051383231385254566,0.05067087564655025,0.051100966134178104,0.05141087177414565,0.049136515571396186
EMA_12,0.04675344928547188,0.04677077958529645,0.04664401223706961,0.0465629304055148,0.04620435173785584
EMA_26,0.047380859299942304,0.04733522335688273,0.04726176701523177,0.0472787424378425,0.046474019079774206
MACD,0.05038007050384709,0.050258950685912906,0.050003022103760376,0.049743247347057984,0.05116372093724085
MACD_signal,0.05020939036651893,0.050181533915526946,0.04972288071071331,0.04925637976928327,0.051038527068749936
MACD_hist,0.05574871320783357,0.055836870573987875,0.05583742887374774,0.056362444649702345,0.05598520722760554
RSI_14,0.053650057507149976,0.05367153285428731,0.0533993949270367,0.05403259888385077,0.05432535395191981
BB_width,0.052361044177302606,0.05208857143768157,0.052563702897052866,0.05258869697462838,0.052983989468021644
Volume_ratio,0.053240608182954195,0.05334021578533481,0.05377697204031161,0.053454270565284866,0.053298025903359934
Return_1d,0.053432795721807605,0.05371820934192097,0.05342772320580127,0.05393446314259894,0.05377694481824914
Return_5d,0.053934261651686674,0.053868257367249685,0.053451681500347084,0.05391338392623566,0.053837662692123055
Volatility_20d,0.050883162610324814,0.05115705389868129,0.05132082473134521,0.050924214177161656,0.052536428976707315
ATR_14,0.04943202722955633,0.049589261871696724,0.050319730019688015,0.049785203723787516,0.050101367416428975
