symbol,status,rows,start,end,gap_bars_filled
AAVEUSDT,ok,581739,2021-01-01 04:55:00+00:00,2026-07-14 03:05:00+00:00,533.0
ADAUSDT,ok,581752,2021-01-01 04:55:00+00:00,2026-07-14 04:10:00+00:00,244.0
ALLOUSDT,ok,70334,2025-11-11 18:55:00+00:00,2026-07-14 00:00:00+00:00,409.0
ARBUSDT,ok,348000,2023-03-23 19:55:00+00:00,2026-07-14 03:50:00+00:00,34.0
AVAXUSDT,ok,581751,2021-01-01 04:55:00+00:00,2026-07-14 04:05:00+00:00,245.0
BCHUSDT,ok,581749,2021-01-01 04:55:00+00:00,2026-07-14 03:55:00+00:00,345.0
BNBUSDT,ok,581592,2021-01-01 04:55:00+00:00,2026-07-13 14:50:00+00:00,244.0
BTCUSDT,ok,581591,2021-01-01 04:55:00+00:00,2026-07-13 14:45:00+00:00,244.0
DCRUSDT,ok,581701,2021-01-01 04:55:00+00:00,2026-07-13 23:55:00+00:00,34546.0
DEXEUSDT,ok,523009,2021-07-23 14:55:00+00:00,2026-07-13 14:55:00+00:00,30630.0
DODOUSDT,ok,567514,2021-02-19 14:55:00+00:00,2026-07-14 03:40:00+00:00,12435.0
DOGEUSDT,ok,581593,2021-01-01 04:55:00+00:00,2026-07-13 14:55:00+00:00,244.0
ENAUSDT,ok,239797,2024-04-02 12:55:00+00:00,2026-07-14 03:55:00+00:00,2.0
ETHUSDT,ok,581592,2021-01-01 04:55:00+00:00,2026-07-13 14:50:00+00:00,244.0
JTOUSDT,ok,273391,2023-12-07 21:25:00+00:00,2026-07-14 03:55:00+00:00,1091.0
KITEUSDT,ok,72694,2025-11-03 17:55:00+00:00,2026-07-14 03:40:00+00:00,57.0
LINKUSDT,ok,581747,2021-01-01 04:55:00+00:00,2026-07-14 03:45:00+00:00,244.0
LTCUSDT,ok,581748,2021-01-01 04:55:00+00:00,2026-07-14 03:50:00+00:00,244.0
LUMIAUSDT,ok,182426,2024-10-18 13:55:00+00:00,2026-07-14 00:00:00+00:00,8357.0
MUBUSDT,skipped_short_history,9197,,,
NEARUSDT,ok,581593,2021-01-01 04:55:00+00:00,2026-07-13 14:55:00+00:00,245.0
OPNUSDT,skipped_short_history,37469,,,
PAXGUSDT,ok,581748,2021-01-01 04:55:00+00:00,2026-07-14 03:50:00+00:00,6462.0
PEPEUSDT,ok,335572,2023-05-05 22:55:00+00:00,2026-07-14 03:10:00+00:00,0.0
POLUSDT,ok,192493,2024-09-13 14:55:00+00:00,2026-07-13 23:55:00+00:00,0.0
PUMPUSDT,ok,87966,2025-09-11 17:25:00+00:00,2026-07-14 03:50:00+00:00,6.0
RLUSDUSDT,skipped_short_history,49654,,,
SNDKBUSDT,skipped_short_history,9186,,,
SOLUSDT,ok,581592,2021-01-01 04:55:00+00:00,2026-07-13 14:50:00+00:00,244.0
SPCXBUSDT,skipped_short_history,8910,,,
SUIUSDT,ok,336227,2023-05-03 16:55:00+00:00,2026-07-14 03:45:00+00:00,0.0
SXTUSDT,ok,124240,2025-05-08 17:55:00+00:00,2026-07-14 03:10:00+00:00,6004.0
SYNUSDT,ok,356406,2023-02-22 15:25:00+00:00,2026-07-14 03:50:00+00:00,11971.0
TAOUSDT,ok,237160,2024-04-11 16:55:00+00:00,2026-07-14 04:10:00+00:00,0.0
TONUSDT,ok,198859,2024-08-08 14:55:00+00:00,2026-06-30 02:25:00+00:00,0.0
TREEUSDT,ok,100620,2025-07-29 18:55:00+00:00,2026-07-14 03:50:00+00:00,4522.0
TRXUSDT,ok,581593,2021-01-01 04:55:00+00:00,2026-07-13 14:55:00+00:00,244.0
TUSDT,ok,460694,2022-02-25 08:55:00+00:00,2026-07-14 00:00:00+00:00,23290.0
UNIUSDT,ok,581593,2021-01-01 04:55:00+00:00,2026-07-13 14:55:00+00:00,272.0
USD1USDT,ok,120072,2025-05-22 16:55:00+00:00,2026-07-13 14:50:00+00:00,852.0
UTKUSDT,ok,555655,2021-01-01 04:55:00+00:00,2026-04-14 13:25:00+00:00,20988.0
UUSDT,ok,52308,2026-01-13 12:55:00+00:00,2026-07-14 03:50:00+00:00,1328.0
VANRYUSDT,ok,275221,2023-12-01 12:55:00+00:00,2026-07-14 03:55:00+00:00,7873.0
WLDUSDT,ok,312492,2023-07-24 13:55:00+00:00,2026-07-13 14:50:00+00:00,0.0
XAUTUSDT,skipped_short_history,31434,,,
XECUSDT,ok,511067,2021-09-03 14:55:00+00:00,2026-07-14 03:45:00+00:00,9189.0
XLMUSDT,ok,581746,2021-01-01 04:55:00+00:00,2026-07-14 03:40:00+00:00,250.0
XPLUSDT,ok,83874,2025-09-25 17:55:00+00:00,2026-07-13 23:20:00+00:00,3.0
XRPUSDT,ok,581592,2021-01-01 04:55:00+00:00,2026-07-13 14:50:00+00:00,244.0
ZECUSDT,ok,581592,2021-01-01 04:55:00+00:00,2026-07-13 14:50:00+00:00,3107.0
