종목코드,종목명,상태,행수,시작일,종료일
279570,케이뱅크,OK,42,2026-03-05 00:00:00,2026-05-04 00:00:00
217590,티엠씨,OK,93,2025-12-15 00:00:00,2026-05-04 00:00:00
317450,명인제약,OK,141,2025-10-01 00:00:00,2026-05-04 00:00:00
439260,대한조선,OK,182,2025-08-01 00:00:00,2026-05-04 00:00:00
483650,달바글로벌,OK,231,2025-05-22 00:00:00,2026-05-04 00:00:00
480370,씨케이솔루션,OK,277,2025-03-17 00:00:00,2026-05-04 00:00:00
031210,서울보증보험,OK,277,2025-03-14 00:00:00,2026-05-04 00:00:00
064400,LG씨엔에스,OK,304,2025-02-05 00:00:00,2026-05-04 00:00:00
499790,GS피앤엘,OK,328,2024-12-23 00:00:00,2026-05-04 00:00:00
484870,엠앤씨솔루션,OK,333,2024-12-16 00:00:00,2026-05-04 00:00:00
415640,KB발해인프라,OK,345,2024-11-29 00:00:00,2026-05-04 00:00:00
475560,더본코리아,OK,361,2024-11-06 00:00:00,2026-05-04 00:00:00
489790,한화비전,OK,386,2024-09-27 00:00:00,2026-05-04 00:00:00
079900,전진건설로봇,OK,412,2024-08-19 00:00:00,2026-05-04 00:00:00
487570,HS효성,OK,426,2024-07-29 00:00:00,2026-05-04 00:00:00
062040,산일전기,OK,427,2024-07-29 00:00:00,2026-05-04 00:00:00
462870,시프트업,OK,439,2024-07-11 00:00:00,2026-05-04 00:00:00
481850,신한글로벌액티브리츠,OK,446,2024-07-01 00:00:00,2026-05-04 00:00:00
034230,파라다이스,OK,1552,2020-01-02 00:00:00,2026-05-04 00:00:00
443060,HD현대마린솔루션,OK,482,2024-05-08 00:00:00,2026-05-04 00:00:00
475150,SK이터닉스,OK,508,2024-03-29 00:00:00,2026-05-04 00:00:00
278470,에이피알,OK,529,2024-02-27 00:00:00,2026-05-04 00:00:00
066970,엘앤에프,OK,1552,2020-01-02 00:00:00,2026-05-04 00:00:00
022100,포스코DX,OK,1552,2020-01-02 00:00:00,2026-05-04 00:00:00
017860,DS단석,OK,571,2023-12-22 00:00:00,2026-05-04 00:00:00
111380,동인기연,OK,594,2023-11-21 00:00:00,2026-05-04 00:00:00
450080,에코프로머티,OK,596,2023-11-17 00:00:00,2026-05-04 00:00:00
454910,두산로보틱스,OK,626,2023-10-05 00:00:00,2026-05-04 00:00:00
465770,STX그린로지스,OK,636,2023-09-15 00:00:00,2026-05-04 00:00:00
092790,넥스틸,OK,656,2023-08-21 00:00:00,2026-05-04 00:00:00
030190,NICE평가정보,OK,1552,2020-01-02 00:00:00,2026-05-04 00:00:00
462520,조선내화,OK,671,2023-07-28 00:00:00,2026-05-04 00:00:00
090460,비에이치,OK,1552,2020-01-02 00:00:00,2026-05-04 00:00:00
460850,동국씨엠,OK,699,2023-06-16 00:00:00,2026-05-04 00:00:00
460860,동국제강,OK,700,2023-06-16 00:00:00,2026-05-04 00:00:00
457190,이수스페셜티케미컬,OK,704,2023-05-31 00:00:00,2026-05-04 00:00:00
456040,OCI,OK,713,2023-05-30 00:00:00,2026-05-04 00:00:00
100090,SK오션플랜트,OK,1552,2020-01-02 00:00:00,2026-05-04 00:00:00
448730,삼성FN리츠,OK,740,2023-04-17 00:00:00,2026-05-04 00:00:00
453340,현대그린푸드,OK,745,2023-04-10 00:00:00,2026-05-04 00:00:00
452260,한화갤러리아,OK,751,2023-03-31 00:00:00,2026-05-04 00:00:00
451800,한화리츠,OK,753,2023-03-29 00:00:00,2026-05-04 00:00:00
377740,바이오노트,OK,818,2022-12-22 00:00:00,2026-05-04 00:00:00
446070,유니드비티플러스,OK,836,2022-11-28 00:00:00,2026-05-04 00:00:00
108320,LX세미콘,OK,1552,2020-01-02 00:00:00,2026-05-04 00:00:00
432320,KB스타리츠,OK,872,2022-10-06 00:00:00,2026-05-04 00:00:00
403550,쏘카,OK,902,2022-08-22 00:00:00,2026-05-04 00:00:00
126720,수산인더스트리,OK,915,2022-08-02 00:00:00,2026-05-04 00:00:00
357430,마스턴프리미어리츠,OK,958,2022-05-31 00:00:00,2026-05-04 00:00:00
417310,코람코더원리츠,OK,1002,2022-03-28 00:00:00,2026-05-04 00:00:00
373220,LG에너지솔루션,OK,1039,2022-01-27 00:00:00,2026-05-04 00:00:00
404990,신한서부티엔디리츠,OK,1071,2021-12-10 00:00:00,2026-05-04 00:00:00
396690,미래에셋글로벌리츠,OK,1076,2021-12-03 00:00:00,2026-05-04 00:00:00
402340,SK스퀘어,OK,1080,2021-11-29 00:00:00,2026-05-04 00:00:00
400760,NH올원리츠,OK,1086,2021-11-19 00:00:00,2026-05-04 00:00:00
377300,카카오페이,OK,1098,2021-11-03 00:00:00,2026-05-04 00:00:00
381970,케이카,OK,1113,2021-10-13 00:00:00,2026-05-04 00:00:00
329180,HD현대중공업,OK,1126,2021-09-17 00:00:00,2026-05-04 00:00:00
395400,SK리츠,OK,1129,2021-09-14 00:00:00,2026-05-04 00:00:00
271940,일진하이솔루스,OK,1138,2021-09-01 00:00:00,2026-05-04 00:00:00
377190,디앤디플랫폼리츠,OK,1141,2021-08-27 00:00:00,2026-05-04 00:00:00
139990,아주스틸,OK,1146,2021-08-20 00:00:00,2026-05-04 00:00:00
089860,롯데렌탈,OK,1147,2021-08-19 00:00:00,2026-05-04 00:00:00
372910,한컴라이프케어,OK,1149,2021-08-17 00:00:00,2026-05-04 00:00:00
259960,크래프톤,OK,1153,2021-08-10 00:00:00,2026-05-04 00:00:00
178920,PI첨단소재,OK,1552,2020-01-02 00:00:00,2026-05-04 00:00:00
323410,카카오뱅크,OK,1155,2021-08-06 00:00:00,2026-05-04 00:00:00
137310,에스디바이오센서,OK,1170,2021-07-16 00:00:00,2026-05-04 00:00:00
097520,엠씨넥스,OK,1552,2020-01-02 00:00:00,2026-05-04 00:00:00
383800,LX홀딩스,OK,1206,2021-05-27 00:00:00,2026-05-04 00:00:00
383220,F&F,OK,1210,2021-05-21 00:00:00,2026-05-04 00:00:00
361610,SK아이이테크놀로지,OK,1217,2021-05-11 00:00:00,2026-05-04 00:00:00
302440,SK바이오사이언스,OK,1254,2021-03-18 00:00:00,2026-05-04 00:00:00
378850,화승알앤에이,OK,1256,2021-03-16 00:00:00,2026-05-04 00:00:00
950210,프레스티지바이오파마,OK,1278,2021-02-09 00:00:00,2026-05-04 00:00:00
248070,솔루엠,OK,1283,2021-02-02 00:00:00,2026-05-04 00:00:00
375500,DL이앤씨,OK,1289,2021-01-25 00:00:00,2026-05-04 00:00:00
365550,ESR켄달스퀘어리츠,OK,1309,2020-12-23 00:00:00,2026-05-04 00:00:00
009900,명신산업,OK,1321,2020-12-07 00:00:00,2026-05-04 00:00:00
244920,에이플러스에셋,OK,1332,2020-11-20 00:00:00,2026-05-04 00:00:00
339770,교촌에프앤비,OK,1338,2020-11-12 00:00:00,2026-05-04 00:00:00
352820,하이브,OK,1358,2020-10-15 00:00:00,2026-05-04 00:00:00
363280,티와이홀딩스,OK,1370,2020-09-23 00:00:00,2026-05-04 00:00:00
357120,코람코라이프인프라리츠,OK,1387,2020-08-31 00:00:00,2026-05-04 00:00:00
348950,제이알글로벌리츠,OK,1402,2020-08-07 00:00:00,2026-05-04 00:00:00
357250,미래에셋맵스리츠,OK,1404,2020-08-05 00:00:00,2026-05-04 00:00:00
350520,이지스레지던스리츠,OK,1404,2020-08-05 00:00:00,2026-05-04 00:00:00
334890,이지스밸류플러스리츠,OK,1418,2020-07-16 00:00:00,2026-05-04 00:00:00
326030,에스케이바이오팜,OK,1428,2020-07-02 00:00:00,2026-05-04 00:00:00
353200,대덕전자,OK,1458,2020-05-21 00:00:00,2026-05-04 00:00:00
344820,케이씨씨글라스,OK,1539,2020-01-21 00:00:00,2026-05-04 00:00:00
