index,feature,group
0,fft_amp_1,fft
1,fft_amp_2,fft
2,fft_amp_3,fft
3,fft_amp_4,fft
4,fft_amp_5,fft
5,fft_freq_1,fft
6,fft_freq_2,fft
7,fft_freq_3,fft
8,fft_freq_4,fft
9,fft_freq_5,fft
10,energy_low,fft
11,energy_mid,fft
12,energy_high,fft
13,dwt_cA3_mean,dwt
14,dwt_cA3_std,dwt
15,dwt_cA3_max,dwt
16,dwt_cA3_energy,dwt
17,dwt_cD3_mean,dwt
18,dwt_cD3_std,dwt
19,dwt_cD3_max,dwt
20,dwt_cD3_energy,dwt
21,dwt_cD2_mean,dwt
22,dwt_cD2_std,dwt
23,dwt_cD2_max,dwt
24,dwt_cD2_energy,dwt
25,dwt_cD1_mean,dwt
26,dwt_cD1_std,dwt
27,dwt_cD1_max,dwt
28,dwt_cD1_energy,dwt
